SKU,Nazwa produktu,Kategoria,Data,Ilość wydana,Wartość jednostkowa
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-05-01,3,9.59
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-06-01,4,9.13
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-07-01,4,9.73
SKU-0005,Gra planszowa Compact,Zabawki,2024-08-01,249,59.86
SKU-0005,Gra planszowa Compact,Zabawki,2024-09-01,304,63.1
SKU-0005,Gra planszowa Compact,Zabawki,2024-10-01,288,59.79
SKU-0005,Gra planszowa Compact,Zabawki,2024-11-01,284,62.53
SKU-0005,Gra planszowa Compact,Zabawki,2024-12-01,254,62.96
SKU-0005,Gra planszowa Compact,Zabawki,2025-01-01,214,59.87
SKU-0005,Gra planszowa Compact,Zabawki,2025-02-01,248,63.8
SKU-0005,Gra planszowa Compact,Zabawki,2025-03-01,230,62.14
SKU-0005,Gra planszowa Compact,Zabawki,2025-04-01,173,62.37
SKU-0005,Gra planszowa Compact,Zabawki,2025-05-01,218,64.53
SKU-0005,Gra planszowa Compact,Zabawki,2025-06-01,264,59.15
SKU-0005,Gra planszowa Compact,Zabawki,2025-07-01,270,61.45
SKU-0005,Gra planszowa Compact,Zabawki,2025-08-01,249,64.29
SKU-0005,Gra planszowa Compact,Zabawki,2025-09-01,231,60.13
SKU-0005,Gra planszowa Compact,Zabawki,2025-10-01,253,63.79
SKU-0005,Gra planszowa Compact,Zabawki,2025-11-01,216,59.01
SKU-0005,Gra planszowa Compact,Zabawki,2025-12-01,223,61.7
SKU-0005,Gra planszowa Compact,Zabawki,2026-01-01,220,59.21
SKU-0005,Gra planszowa Compact,Zabawki,2026-02-01,190,63.88
SKU-0005,Gra planszowa Compact,Zabawki,2026-03-01,191,64.63
SKU-0005,Gra planszowa Compact,Zabawki,2026-04-01,191,60.13
SKU-0005,Gra planszowa Compact,Zabawki,2026-05-01,188,61.73
SKU-0005,Gra planszowa Compact,Zabawki,2026-06-01,199,59.74
SKU-0005,Gra planszowa Compact,Zabawki,2026-07-01,210,63.53
SKU-0006,Klapki basenowe Compact,Obuwie,2024-08-01,0,344.12
SKU-0006,Klapki basenowe Compact,Obuwie,2024-09-01,24,327.45
SKU-0006,Klapki basenowe Compact,Obuwie,2024-10-01,0,329.32
SKU-0006,Klapki basenowe Compact,Obuwie,2024-11-01,10,319.53
SKU-0006,Klapki basenowe Compact,Obuwie,2024-12-01,0,328.89
SKU-0006,Klapki basenowe Compact,Obuwie,2025-01-01,6,322.62
SKU-0006,Klapki basenowe Compact,Obuwie,2025-02-01,10,336.27
SKU-0006,Klapki basenowe Compact,Obuwie,2025-03-01,5,322.03
SKU-0006,Klapki basenowe Compact,Obuwie,2025-04-01,0,338.29
SKU-0006,Klapki basenowe Compact,Obuwie,2025-05-01,0,333.74
SKU-0006,Klapki basenowe Compact,Obuwie,2025-06-01,17,344.92
SKU-0006,Klapki basenowe Compact,Obuwie,2025-07-01,0,331.43
SKU-0006,Klapki basenowe Compact,Obuwie,2025-08-01,40,339.74
SKU-0006,Klapki basenowe Compact,Obuwie,2025-09-01,13,346.25
SKU-0006,Klapki basenowe Compact,Obuwie,2025-10-01,18,350.51
SKU-0006,Klapki basenowe Compact,Obuwie,2025-11-01,0,329.86
SKU-0006,Klapki basenowe Compact,Obuwie,2025-12-01,10,333.9
SKU-0006,Klapki basenowe Compact,Obuwie,2026-01-01,0,345.45
SKU-0006,Klapki basenowe Compact,Obuwie,2026-02-01,15,328.41
SKU-0006,Klapki basenowe Compact,Obuwie,2026-03-01,8,342.92
SKU-0006,Klapki basenowe Compact,Obuwie,2026-04-01,10,323.31
SKU-0006,Klapki basenowe Compact,Obuwie,2026-05-01,11,336.8
SKU-0006,Klapki basenowe Compact,Obuwie,2026-06-01,0,335.91
SKU-0006,Klapki basenowe Compact,Obuwie,2026-07-01,15,339.55
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2024-08-01,2,340.72
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2024-09-01,2,337.38
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2024-10-01,3,364.8
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2024-11-01,4,335.99
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2024-12-01,4,334.04
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-01-01,3,360.46
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-02-01,3,338.69
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-03-01,3,361.46
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-04-01,1,361.35
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-05-01,1,352.87
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-06-01,1,343.25
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-07-01,1,347.95
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-08-01,1,362.66
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-09-01,2,347.26
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-10-01,3,345.99
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-11-01,4,365.84
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2025-12-01,3,336.96
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-01-01,4,338.13
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-02-01,3,362.74
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-03-01,1,348.47
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-04-01,1,336.61
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-05-01,2,346.65
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-06-01,1,340.8
SKU-0007,Hantle 5kg Compact,Sport i rekreacja,2026-07-01,1,344.24
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2024-08-01,5,325.35
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2024-09-01,4,329.12
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2024-10-01,2,334.2
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2024-11-01,3,321.76
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2024-12-01,4,329.03
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-01-01,7,322.13
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-02-01,9,330.08
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-03-01,12,344.04
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-04-01,14,351.02
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-05-01,11,330.49
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-06-01,12,331.65
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-07-01,11,323.78
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-08-01,4,349.32
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-09-01,3,327.39
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-10-01,2,324.23
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-11-01,2,341.23
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2025-12-01,3,337.03
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-01-01,2,346.5
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-02-01,9,348.74
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-03-01,14,322.99
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-04-01,9,351.01
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-05-01,15,351.84
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-06-01,12,327.55
SKU-0008,Plecak trekkingowy Classic,Sport i rekreacja,2026-07-01,6,332.67
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2024-08-01,0,59.61
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2024-09-01,11,57.0
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2024-10-01,0,57.85
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2024-11-01,0,56.01
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2024-12-01,19,59.6
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-01-01,11,60.75
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-02-01,12,60.56
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-03-01,19,57.23
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-04-01,9,58.03
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-05-01,0,61.04
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-06-01,0,59.16
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-07-01,17,55.93
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-08-01,0,60.79
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-09-01,2,61.06
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-10-01,0,55.64
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-11-01,4,57.99
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2025-12-01,0,58.69
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-01-01,1,60.12
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-02-01,8,57.44
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-03-01,17,57.24
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-04-01,0,56.62
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-05-01,0,60.04
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-06-01,7,57.09
SKU-0009,Długopis żelowy Mini,Artykuły biurowe,2026-07-01,19,56.02
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2024-08-01,13,19.89
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2024-09-01,21,20.68
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2024-10-01,30,21.0
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2024-11-01,30,19.97
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2024-12-01,35,21.79
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-01-01,45,19.99
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-02-01,51,21.57
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-03-01,22,21.1
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-04-01,21,20.57
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-05-01,17,21.24
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-06-01,12,20.21
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-07-01,11,21.55
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-08-01,12,21.66
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-09-01,17,20.31
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-10-01,38,20.29
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-11-01,37,21.78
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2025-12-01,46,20.67
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-01-01,54,20.94
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-02-01,38,21.55
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-03-01,52,21.56
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-04-01,36,20.62
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-05-01,21,20.35
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-06-01,13,20.47
SKU-0010,Długopis żelowy XL,Artykuły biurowe,2026-07-01,13,20.51
SKU-0011,Suszarka do włosów Mini,AGD,2024-08-01,2,201.36
SKU-0011,Suszarka do włosów Mini,AGD,2024-09-01,3,210.76
SKU-0011,Suszarka do włosów Mini,AGD,2024-10-01,2,199.72
SKU-0011,Suszarka do włosów Mini,AGD,2024-11-01,3,194.81
SKU-0011,Suszarka do włosów Mini,AGD,2024-12-01,5,196.75
SKU-0011,Suszarka do włosów Mini,AGD,2025-01-01,4,197.99
SKU-0011,Suszarka do włosów Mini,AGD,2025-02-01,0,205.46
SKU-0011,Suszarka do włosów Mini,AGD,2025-03-01,3,197.56
SKU-0011,Suszarka do włosów Mini,AGD,2025-04-01,2,212.65
SKU-0011,Suszarka do włosów Mini,AGD,2025-05-01,0,202.32
SKU-0011,Suszarka do włosów Mini,AGD,2025-06-01,0,199.07
SKU-0011,Suszarka do włosów Mini,AGD,2025-07-01,0,211.36
SKU-0011,Suszarka do włosów Mini,AGD,2025-08-01,3,202.87
SKU-0011,Suszarka do włosów Mini,AGD,2025-09-01,0,195.09
SKU-0011,Suszarka do włosów Mini,AGD,2025-10-01,0,206.21
SKU-0011,Suszarka do włosów Mini,AGD,2025-11-01,0,210.39
SKU-0011,Suszarka do włosów Mini,AGD,2025-12-01,3,202.42
SKU-0011,Suszarka do włosów Mini,AGD,2026-01-01,3,205.41
SKU-0011,Suszarka do włosów Mini,AGD,2026-02-01,0,212.78
SKU-0011,Suszarka do włosów Mini,AGD,2026-03-01,1,205.53
SKU-0011,Suszarka do włosów Mini,AGD,2026-04-01,2,210.76
SKU-0011,Suszarka do włosów Mini,AGD,2026-05-01,0,198.91
SKU-0011,Suszarka do włosów Mini,AGD,2026-06-01,2,212.09
SKU-0011,Suszarka do włosów Mini,AGD,2026-07-01,0,198.6
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2024-08-01,7,129.87
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2024-09-01,9,126.81
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2024-10-01,11,126.71
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2024-11-01,11,128.21
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2024-12-01,11,125.43
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-01-01,11,129.83
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-02-01,12,128.1
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-03-01,14,136.44
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-04-01,12,127.84
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-05-01,12,135.53
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-06-01,13,126.74
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-07-01,12,129.42
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-08-01,10,137.72
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-09-01,12,137.66
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-10-01,12,128.49
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-11-01,14,132.82
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2025-12-01,12,132.09
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-01-01,12,127.33
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-02-01,15,131.99
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-03-01,15,124.9
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-04-01,13,128.01
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-05-01,13,126.04
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-06-01,14,133.57
SKU-0012,Kosiarka elektryczna Advanced,Ogród,2026-07-01,13,132.6
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2024-08-01,7,308.3
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2024-09-01,7,306.74
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2024-10-01,6,323.16
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2024-11-01,7,301.49
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2024-12-01,7,301.02
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-01-01,7,310.37
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-02-01,8,314.28
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-03-01,8,302.17
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-04-01,7,305.11
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-05-01,9,320.54
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-06-01,7,315.38
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-07-01,7,302.44
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-08-01,5,312.42
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-09-01,7,322.14
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-10-01,6,327.99
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-11-01,5,320.93
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2025-12-01,7,299.64
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-01-01,7,306.47
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-02-01,8,300.11
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-03-01,9,309.8
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-04-01,8,303.85
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-05-01,9,325.83
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-06-01,7,312.28
SKU-0013,Głośnik Bluetooth Advanced,Elektronika,2026-07-01,7,324.19
SKU-0014,Taśma miernicza Pro,Narzędzia,2024-08-01,1,64.59
SKU-0014,Taśma miernicza Pro,Narzędzia,2024-09-01,2,70.28
SKU-0014,Taśma miernicza Pro,Narzędzia,2024-10-01,2,65.08
SKU-0014,Taśma miernicza Pro,Narzędzia,2024-11-01,4,67.09
SKU-0014,Taśma miernicza Pro,Narzędzia,2024-12-01,4,65.15
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-01-01,8,65.16
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-02-01,9,71.26
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-03-01,3,70.02
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-04-01,5,69.07
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-05-01,4,66.65
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-06-01,3,68.43
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-07-01,2,69.26
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-08-01,2,69.46
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-09-01,2,65.77
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-10-01,4,65.84
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-11-01,3,71.05
SKU-0014,Taśma miernicza Pro,Narzędzia,2025-12-01,6,68.18
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-01-01,6,64.89
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-02-01,8,66.09
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-03-01,6,70.07
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-04-01,7,66.22
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-05-01,5,68.67
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-06-01,5,68.86
SKU-0014,Taśma miernicza Pro,Narzędzia,2026-07-01,3,65.79
SKU-0015,Lalka interaktywna Compact,Zabawki,2024-08-01,3,232.68
SKU-0015,Lalka interaktywna Compact,Zabawki,2024-09-01,0,219.37
SKU-0015,Lalka interaktywna Compact,Zabawki,2024-10-01,0,221.16
SKU-0015,Lalka interaktywna Compact,Zabawki,2024-11-01,3,222.47
SKU-0015,Lalka interaktywna Compact,Zabawki,2024-12-01,0,215.01
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-01-01,2,233.98
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-02-01,2,223.62
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-03-01,0,227.02
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-04-01,0,232.06
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-05-01,0,220.97
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-06-01,2,213.69
SKU-0015,Lalka interaktywna Compact,Zabawki,2025-07-01,7,233.33
